齢	レイ ・ よわい ・ とし	age	general
歴	レキ ・ レッキ	curriculum; continuation; passage of time	general
列	レツ ・ レ	file; row; rank; tier; column	general
練	レン ・ ねる ・ ねり	practice; gloss; train; drill; polish; refine	general
路	ロ ・ ル ・ -じ ・ みち	path; route; road; distance	general
露	ロ ・ ロウ ・ つゆ	dew; tears; expose; Russia	general
老	ロウ ・ おいる ・ ふける	old man; old age; grow old	general
郎	ロウ ・ リョウ ・ おとこ	son; counter for sons	general
録	ロク	record	general
惑	ワク ・ まどう	beguile; delusion; perplexity	general
枠	わく	frame; framework; spindle; spool; bounding-box; (kokuji)	general
湾	ワン ・ いりえ	gulf; bay; inlet	general
良	リョウ ・ よい ・ -よい ・ いい ・ -いい	good; pleasing; skilled	general
林	リン ・ はやし	grove; forest	general
臨	リン ・ のぞむ	look to; face; meet; confront; attend; call on	general
輪	リン ・ わ	wheel; ring; circle; link; loop; counter for wheels and flowers	general
塁	ルイ ・ ライ ・ スイ ・ とりで	bases; fort; rampart; walls; base(ball)	general
類	ルイ ・ たぐい	sort; kind; variety; class; genus	general
令	レイ	orders; ancient laws; command; decree	general
冷	レイ ・ つめたい ・ ひえる ・ ひや ・ ひややか ・ ひやす ・ ひやかす ・ さめる ・ さます	cool; cold (beer, person); chill	general
鈴	レイ ・ リン ・ すず	small bell; buzzer	general
養	ヨウ ・ リョウ ・ やしなう	foster; bring up; rear; develop; nurture	general
抑	ヨク ・ おさえる	repress; well; now; in the first place; push; shove; press; seal; do in spite of	general
欲	ヨク ・ ほっする ・ ほしい	longing; covetousness; greed; passion; desire; craving	general
頼	ライ ・ たのむ ・ たのもしい ・ たよる	trust; request	general
絡	ラク ・ からむ ・ からまる	entwine; coil around; get caught in	general
乱	ラン ・ ロン ・ みだれる ・ みだる ・ みだす ・ みだ ・ おさめる ・ わたる	riot; war; disorder; disturb	general
裏	リ ・ うら	back; amidst; in; reverse; inside; palm; sole; rear; lining; wrong side	general
離	リ ・ はなれる ・ はなす	detach; separation; disjoin; digress	general
陸	リク ・ ロク ・ おか	land; six	general
律	リツ ・ リチ ・ レツ	rhythm; law; regulation; gauge; control	general
略	リャク ・ ほぼ ・ おかす ・ おさめる ・ はかりごと ・ はかる ・ はぶく ・ りゃくす ・ りゃくする	abbreviation; omission; outline; shorten; capture; plunder	general
留	リュウ ・ ル ・ とめる ・ とまる ・ とどめる ・ とどまる ・ るうぶる	detain; fasten; halt; stop	general
慮	リョ ・ おもんぱくる ・ おもんぱかる	prudence; thought; concern; consider; deliberate; fear	general
旅	リョ ・ たび	trip; travel	general
了	リョウ	complete; finish	general
僚	リョウ	colleague; official; companion	general
療	リョウ	heal; cure	general
預	ヨ ・ あずける ・ あずかる	deposit; custody; leave with; entrust to	general
曜	ヨウ	weekday	general
洋	ヨウ	ocean; western style	general
誘	ユウ ・ イウ ・ さそう ・ いざなう	entice; lead; tempt; invite; ask; call for; seduce; allure	general
遊	ユウ ・ ユ ・ あそぶ ・ あそばす	play	general
郵	ユウ	mail; stagecoach stop	general
雄	ユウ ・ お- ・ おす ・ おん	masculine; male; hero; leader; superiority; excellence	general
夕	セキ ・ ゆう	evening	general
余	ヨ ・ あまる ・ あまり ・ あます ・ あんまり	too much; myself; surplus; other; remainder	general
友	ユウ ・ とも	friend	general
油	ユ ・ ユウ ・ あぶら	oil; fat	general
薬	ヤク ・ くすり	medicine; chemical; enamel; gunpowder; benefit	general
躍	ヤク ・ おどる	leap; dance; skip	general
戻	レイ ・ もどす ・ もどる	re-; return; revert; resume; restore; go backwards	general
盟	メイ	alliance; oath	general
迷	メイ ・ まよう	astray; be perplexed; in doubt; lost; err; illusion	general
模	モ ・ ボ	imitation; copy; mock	general
満	マン ・ バン ・ みちる ・ みつ ・ みたす	full; fullness; enough; satisfy	general
未	ミ ・ ビ ・ いまだ ・ まだ ・ ひつじ	un-; not yet; hitherto; still; even now; sign of the ram; 1-3PM; eighth sign of Chinese zodiac	general
密	ミツ ・ ひそか	secrecy; density (pop); minuteness; carefulness	general
夢	ム ・ ボウ ・ ゆめ ・ ゆめみる ・ くらい	dream; vision; illusion	general
枚	マイ ・ バイ	sheet of...; counter for flat thin objects or sheets	general
幕	マク ・ バク ・ とばり	curtain; bunting; act of play	general
歩	ホ ・ ブ ・ フ ・ あるく ・ あゆむ	walk; counter for steps	general
募	ボ ・ つのる	recruit; campaign; gather (contributions); enlist; grow violent	general
暮	ボ ・ くれる ・ くらす	livelihood; make a living; spend time	general
母	ボ ・ はは ・ も	mama; mother	general
包	ホウ ・ つつむ ・ くるむ	wrap; pack up; cover; conceal	general
崩	ホウ ・ くずれる ・ -くずれ ・ くずす	crumble; die; demolish; level	general
抱	ホウ ・ だく ・ いだく ・ かかえる	embrace; hug; hold in arms	general
豊	ホウ ・ ブ ・ ゆたか ・ とよ	bountiful; excellent; rich	general
邦	ホウ ・ くに	home country; country; Japan	general
亡	ボウ ・ モウ ・ ない ・ なき- ・ ほろびる ・ ほろぶ ・ ほろぼす	deceased; the late; dying; perish	general
房	ボウ ・ ふさ	tassel; tuft; fringe; bunch; lock (hair); segment (orange); house; room	general
暴	ボウ ・ バク ・ あばく ・ あばれる	outburst; rave; fret; force; violence; cruelty; outrage	general
貿	ボウ	trade; exchange	general
便	ベン ・ ビン ・ たより	convenience	general
弁	ベン ・ ヘン ・ わきまえる ・ わける ・ はなびら ・ あらそう	valve; petal; braid; speech; dialect; discrimination; dispose of; distinguish	general
捕	ホ ・ とらえる ・ とらわれる ・ とる ・ とらえる ・ とらわれる ・ つかまえる ・ つかまる	catch; capture	general
返	ヘン ・ かえす ・ -かえす ・ かえる ・ -かえる	return; answer; fade; repay	general
紛	フン ・ まぎれる ・ -まぎれ ・ まぎらす ・ まぎらわす ・ まぎらわしい	distract; be mistaken for; go astray; divert	general
併	ヘイ ・ あわせる	join; get together; unite; collective	general
兵	ヘイ ・ ヒョウ ・ つわもの	soldier; private; troops; army; warfare; strategy; tactics	general
並	ヘイ ・ ホウ ・ なみ ・ ならべる ・ ならぶ ・ ならびに	row; and; besides; as well as; line up; rank with; rival; equal	general
閉	ヘイ ・ とじる ・ とざす ・ しめる ・ しまる ・ たてる	closed; shut	general
編	ヘン ・ あむ ・ -あみ	compilation; knit; plait; braid; twist; editing; completed poem; part of a book	general
舞	ブ ・ まう ・ -まう ・ まい	dance; flit; circle; wheel	general
風	フウ ・ フ ・ かぜ ・ かざ- ・ -かぜ	wind; air; style; manner	general
幅	フク ・ はば	hanging scroll; width	general
服	フク	clothing; admit; obey; discharge	general
複	フク	duplicate; double; compound; multiple	general
払	フツ ・ ヒツ ・ ホツ ・ はらう ・ -はらい ・ -ばらい	pay; clear out; prune; banish; dispose of	general
仏	ブツ ・ フツ ・ ほとけ	Buddha; the dead; France	general
浜	ヒン ・ はま	seacoast; beach; seashore	general
婦	フ ・ よめ	lady; woman; wife; bride	general
富	フ ・ フウ ・ とむ ・ とみ	wealth; enrich; abundant	general
布	フ ・ ぬの	linen; cloth	general
普	フ ・ あまねく ・ あまねし	universal; wide(ly); generally; Prussia	general
浮	フ ・ うく ・ うかれる ・ うかぶ ・ む ・ うかべる	floating; float; rise to surface	general
父	フ ・ ちち	father	general
抜	バツ ・ ハツ ・ ハイ ・ ぬく ・ -ぬく ・ ぬき ・ ぬける ・ ぬかす ・ ぬかる	slip out; extract; pull out; pilfer; quote; remove; omit	general
伴	ハン ・ バン ・ ともなう	consort; accompany; bring with; companion	general
板	ハン ・ バン ・ いた	plank; board; plate; stage	general
版	ハン	printing block; printing plate; edition; impression; label	general
犯	ハン ・ ボン ・ おかす	crime; sin; offense	general
般	ハン	carrier; carry; all	general
販	ハン	marketing; sell; trade	general
盤	バン	tray; shallow bowl; platter; tub; board; phonograph record	general
否	ヒ ・ いな ・ いや	negate; no; noes; refuse; decline; deny	general
彼	ヒ ・ かれ ・ かの ・ かの	he; that; the	general
批	ヒ	criticism; strike	general
秘	ヒ ・ ひめる ・ ひそか ・ かくす	secret; conceal	general
避	ヒ ・ さける ・ よける	evade; avoid; avert; ward off; shirk; shun	general
飛	ヒ ・ とぶ ・ とばす ・ -とばす	fly; skip (pages); scatter	general
尾	ビ ・ お	tail; end; counter for fish; lower slope of mountain	general
標	ヒョウ ・ しるべ ・ しるし	signpost; seal; mark; stamp; imprint; symbol; emblem; trademark; evidence; souvenir; target	general
描	ビョウ ・ えがく ・ かく	sketch; compose; write; draw; paint	general
博	ハク ・ バク	Dr.; command; esteem; win acclaim; Ph.D.; exposition; fair	general
迫	ハク ・ せまる	urge; force; imminent; spur on	general
爆	バク ・ はぜる	bomb; burst open; pop; split	general
買	バイ ・ かう	buy	general
肉	ニク ・ しし	meat	general
熱	ネツ ・ あつい	heat; temperature; fever; mania; passion	general
燃	ネン ・ もえる ・ もやす ・ もす	burn; blaze; glow	general
納	ノウ ・ ナッ ・ ナ ・ ナン ・ トウ ・ おさめる ・ -おさめる ・ おさまる	settlement; obtain; reap; pay; supply; store	general
波	ハ ・ なみ	waves; billows; Poland	general
破	ハ ・ やぶる ・ やぶれる	rend; rip; tear; break; destroy; defeat; frustrate	general
馬	バ ・ うま ・ うま- ・ ま	horse	general
廃	ハイ ・ すたれる ・ すたる	abolish; obsolete; cessation; discarding; abandon	general
敗	ハイ ・ やぶれる	failure; defeat; reversal	general
背	ハイ ・ せ ・ せい ・ そむく ・ そむける	stature; height; back; behind; disobey; defy; go back on; rebel	general
倍	バイ	double; twice; times; fold	general
闘	トウ ・ たたかう ・ あらそう	fight; war	general
督	トク	coach; command; urge; lead; supervise	general
読	ドク ・ トク ・ トウ ・ よむ ・ -よみ	read	general
突	トツ ・ カ ・ つく	stab; protruding; thrusting; thrust; pierce; prick	general
届	カイ ・ とどける ・ -とどけ ・ とどく	deliver; reach; arrive; report; notify; forward	general
奈	ナ ・ ナイ ・ ダイ ・ いかん ・ からなし	Nara; what?	general
逃	トウ ・ にげる ・ にがす ・ のがす ・ のがれる	escape; flee; shirk; evade; set free	general
討	トウ ・ うつ	chastise; attack; defeat; destroy; conquer	general
踏	トウ ・ ふむ ・ ふまえる	step; trample; carry through; appraise; evade payment	general
倒	トウ ・ たおれる ・ -だおれ ・ たおす	overthrow; fall; collapse; drop; break down	general
等	トウ ・ ひとしい ・ など ・ -ら	etc.; and so forth; class (first); quality; equal; similar	general
登	トウ ・ ト ・ ドウ ・ ショウ ・ チョウ ・ のぼる ・ あがる	ascend; climb up	general
途	ト ・ みち	route; way; road	general
努	ド ・ つとめる	toil; diligent; as much as possible	general
徒	ト ・ いたずら ・ あだ	junior; emptiness; vanity; futility; uselessness; ephemeral thing; gang; set; party; people	general
庁	チョウ ・ テイ ・ やくしょ	government office	general
徴	チョウ ・ チ ・ しるし	indications; sign; omen; symptom; collect; seek; refer to; question	general
挑	チョウ ・ いどむ	challenge; contend for; make love to	general
聴	チョウ ・ テイ ・ きく ・ ゆるす	listen; headstrong; naughty; careful inquiry	general
超	チョウ ・ こえる ・ こす	transcend; super-; ultra-	general
賃	チン	fare; fee; hire; rent; wages; charge	general
痛	ツウ ・ いたい ・ いたむ ・ いたましい ・ いためる	pain; hurt; damage; bruise	general
塚	チョウ ・ つか ・ -づか	hillock; mound	general
停	テイ ・ とめる ・ とまる	halt; stopping	general
底	テイ ・ そこ	bottom; sole; depth; bottom price; base; kind; sort	general
庭	テイ ・ にわ	courtyard; garden; yard	general
程	テイ ・ ほど ・ -ほど	extent; degree; law; formula; distance; limits; amount	general
締	テイ ・ しまる ・ しまり ・ しめる ・ -しめ ・ -じめ	tighten; tie; shut; lock; fasten	general
邸	テイ ・ やしき	residence; mansion	general
摘	テキ ・ つむ	pinch; pick; pluck; trim; clip; summarize	general
適	テキ ・ かなう	suitable; occasional; rare; qualified; capable	general
徹	テツ	penetrate; clear; pierce; strike home; sit up (all night)	general
撤	テツ	remove; withdraw; disarm; dismantle; reject; exclude	general
鉄	テツ ・ くろがね	iron	general
天	テン ・ あまつ ・ あめ ・ あま-	heavens; sky; imperial	general
駐	チュウ	stop-over; reside in; resident	general
著	チョ ・ チャク ・ あらわす ・ いちじるしい	renowned; publish; write; remarkable; phenomenal; put on; don; wear; arrival; finish (race); counter for suits of clothing; literary work	general
値	チ ・ ね ・ あたい	price; cost; value	general
池	チ ・ いけ	pond; cistern; pool; reservoir	general
致	チ ・ いたす	doth; do; send; forward; cause; exert; incur; engage	general
遅	チ ・ おくれる ・ おくらす ・ おそい	slow; late; back; later	general
築	チク ・ きずく	fabricate; build; construct	general
竹	チク ・ たけ	bamboo	general
仲	チュウ ・ なか	go-between; relationship	general
択	タク ・ えらぶ	choose; select; elect; prefer	general
奪	ダツ ・ うばう	rob; take by force; snatch away; dispossess; plunder; usurp	general
脱	ダツ ・ ぬぐ ・ ぬげる	undress; removing; escape from; get rid of; be left out; take off	general
谷	コク ・ たに ・ きわまる	valley	general
単	タン ・ ひとえ	simple; one; single; merely	general
探	タン ・ さぐる ・ さがす	grope; search; look for	general
短	タン ・ みじかい	short; brevity; fault; defect; weak point	general
端	タン ・ はし ・ は ・ はた ・ -ばた ・ はな	edge; origin; end; point; border; verge; cape	general
弾	ダン ・ タン ・ ひく ・ -ひき ・ はずむ ・ たま ・ はじく ・ はじける ・ ただす ・ はじきゆみ	bullet; twang; flip; snap	general
逮	タイ	apprehend; chase	general
隊	タイ	regiment; party; company; squad	general
貸	タイ ・ かす ・ かし- ・ かし-	lend	general
帯	タイ ・ おびる ・ おび	sash; belt; obi; zone; region	general
替	タイ ・ かえる ・ かえ- ・ かわる	exchange; spare; substitute; per-	general
層	ソウ	stratum; social class; layer; story; floor	general
捜	ソウ ・ シュ ・ シュウ ・ さがす	search; look for; locate	general
草	ソウ ・ くさ ・ くさ- ・ -ぐさ	grass; weeds; herbs; pasture; write; draft	general
葬	ソウ ・ ほうむる	interment; bury; shelve	general
装	ソウ ・ ショウ ・ よそおう ・ よそおい	attire; dress; pretend; disguise; profess	general
走	ソウ ・ はしる	run	general
像	ゾウ	statue; picture; image; figure; portrait	general
臓	ゾウ ・ はらわた	entrails; viscera; bowels	general
促	ソク ・ うながす	stimulate; urge; press; demand; incite	general
則	ソク ・ のっとる	rule; follow; based on; model after	general
息	ソク ・ いき	breath; respiration; son; interest (on money)	general
束	ソク ・ たば ・ たばねる ・ つか ・ つかねる	bundle; sheaf; ream; tie in bundles; govern; manage; control	general
測	ソク ・ はかる	fathom; plan; scheme; measure	general
速	ソク ・ はやい ・ はや- ・ はやめる ・ すみやか	quick; fast	general
属	ゾク ・ ショク ・ さかん ・ つく ・ やから	belong; genus; subordinate official; affiliated	general
卒	ソツ ・ シュツ ・ そっする ・ おえる ・ おわる ・ ついに ・ にわか	graduate; soldier; private; die	general
存	ソン ・ ゾン	suppose; be aware of; believe; feel	general
損	ソン ・ そこなう ・ そこなう ・ -そこなう ・ そこねる ・ -そこねる	damage; loss; disadvantage; hurt; injure	general
他	タ ・ ほか	other; another; the others	general
太	タイ ・ タ ・ ふとい ・ ふとる	plump; thick; big around	general
素	ソ ・ ス ・ もと	elementary; principle; naked; uncovered	general
創	ソウ ・ ショウ ・ つくる ・ はじめる ・ きず ・ けずしける	genesis; wound; injury; hurt; start; originate	general
喪	ソウ ・ も	miss; mourning	general
析	セキ	chop; divide; tear; analyze	general
積	セキ ・ つむ ・ -づみ ・ つもる ・ つもり	volume; product (x*y); acreage; contents; pile up; stack; load; amass	general
籍	セキ	enroll; domiciliary register; membership	general
績	セキ	exploits; unreeling cocoons	general
責	セキ ・ せめる	blame; condemn; censure	general
赤	セキ ・ シャク ・ あか ・ あか- ・ あかい ・ あからむ ・ あからめる	red	general
跡	セキ ・ あと	tracks; mark; print; impression	general
接	セツ ・ ショウ ・ つぐ	touch; contact; adjoin; piece together	general
折	セツ ・ おる ・ おり ・ おり ・ -おり ・ おれる	fold; break; fracture; bend; yield; submit	general
節	セツ ・ セチ ・ ふし ・ -ぶし ・ のっと	node; season; period; occasion; verse; clause; stanza; honor; joint; knuckle; knob; knot; tune; melody	general
絶	ゼツ ・ たえる ・ たやす ・ たつ	discontinue; beyond; sever; cut off; abstain; interrupt; suppress	general
占	セン ・ しめる ・ うらなう	fortune-telling; divining; forecasting; occupy; hold; have; get; take	general
宣	セン ・ のたまう ・ のたまわく	proclaim; say; announce	general
専	セン ・ もっぱら	specialty; exclusive; mainly; solely	general
染	セン ・ そめる ・ -ぞめ ・ -ぞめ ・ そまる ・ しみる ・ -じみる ・ しみ ・ -しめる	dye; color; paint; stain; print	general
船	セン ・ ふね ・ ふな-	ship; boat	general
善	ゼン ・ よい ・ いい ・ よく ・ よしとする	virtuous; good; goodness	general
措	ソ ・ おく	set aside; give up; suspend; discontinue; lay aside; except	general
狙	ソ ・ ショ ・ ねらう ・ ねらい	aim at; sight; shadow; stalk	general
星	セイ ・ ショウ ・ ほし ・ -ぼし	star; spot; dot; mark	general
清	セイ ・ ショウ ・ シン ・ きよい ・ きよまる ・ きよめる	pure; purify; cleanse; exorcise; Manchu dynasty	general
盛	セイ ・ ジョウ ・ もる ・ さかる ・ さかん	boom; prosper; copulate	general
精	セイ ・ ショウ ・ シヤウ	refined; ghost; fairy; energy; vitality; semen; excellence; purity; skill	general
請	セイ ・ シン ・ ショウ ・ こう ・ うける	solicit; invite; ask	general
青	セイ ・ ショウ ・ あお ・ あお- ・ あおい	blue; green	general
静	セイ ・ ジョウ ・ しず- ・ しずか ・ しずまる ・ しずめる	quiet	general
図	ズ ・ ト ・ え ・ はかる	map; drawing; plan; unexpected; accidentally	general
推	スイ ・ おす	conjecture; infer; guess; suppose; support	general
譲	ジョウ ・ ゆずる	defer; turnover; transfer; convey	general
植	ショク ・ うえる ・ うわる	plant	general
織	ショク ・ シキ ・ おる ・ おり ・ おり ・ -おり ・ -おり	weave; fabric	general
色	ショク ・ シキ ・ いろ	color	general
触	ショク ・ ふれる ・ さわる ・ さわ	contact; touch; feel; hit; proclaim; announce; conflict	general
伸	シン ・ のびる ・ のばす ・ のべる ・ のす	expand; stretch; extend; lengthen; increase	general
慎	シン ・ つつしむ ・ つつし ・ つつしみ	humility; be careful; discrete; prudent	general
振	シン ・ ふる ・ ぶる ・ ふり ・ -ぶり ・ ふるう	shake; wave; wag; swing	general
森	シン ・ もり	forest; woods	general
針	シン ・ はり	needle; pin; staple; stinger	general
震	シン ・ ふるう ・ ふるえる	quake; shake; tremble; quiver; shiver	general
